LATITUDE,LONGITUDE,Aug-22,Jan-23,Nov-22,Mar-22,WELL DEPTH
15.14486,77.94124,7.3,0.185974289,4.71,31.75,0.213679991
15.29722,77.791667,2.88,0.021233569,4.185,3.75,0.244689243
15.2452,78.505777,3.83,0.02650585,3.66,4.86,0.217618337
16.07588,78.8671,0.89,0.007511195,2.395,1.2,0.275104226
14.98822,78.39186,6.85,0.021233569,1.13,7.8,0.263333658
15.5531,77.9269,2.05,0.015239058,1.65,2.55,0.234246549
15.71271,78.478413,1.17,0.008413982,1.21,1.42,0.2293757
14.67833,80.051944,1.06,0.001588907,0.72,0.72,0.255979276
14.73338,80.096812,3.05,0.009605662,2.3,3.92,0.254529852
14.68174,79.973768,4.24,0.013939044,2.57,3.4,0.255979276
14.64637,79.613616,4.11,0.01863354,3.51,2.9,0.250328465
